,Customer Name,Review Title,Rating,Reviews
13,sujith,Dissapointed.. Big No,1.0 out of 5 stars,  Disappointed. This was my first purchase of oneplus phone and I was so eager to get a hand on it. But seriously there is need for improvement. Battery is like a candle as it is draining easily. Product has no premium finish. Also the display is not up-to the mark. They're claiming it as a gaming phone and sorry to say that you can't use it as a gaming device. Also the camera is average. Please don't go for it as there are lot of other good smartphones in the market with same set of features for 40k. Big no from my side. One plus Nord is better than this and I would recommend One plus should call back entire.  9R series.
14,Raviteja,Best phone in this price range,5.0 out of 5 stars,  Review after 3 days usePros1) Build quality is awesome with aluminum frame and mate finish carbon black2) Display full HD+ Amoled screen display with 120hz refresh rate gives you the smooth experience3) The Snapdragon 870 processor will gives you good gaming experience4) Main camera is doing good performance with good picture quality and nightscape video is awesome and camera features were good5) usb-a to usb-c 65wat charger helps to full charge in 30 minCons1) It has heating issue after using phone for 40 min continuously2) Batery drain so fast as iam a heavy user it last me around 15 hours3) macro camera Is doing a worst performance
15,Amal,You won't go wrong choosing OnePlus 9R. A decent choice for 2021.,5.0 out of 5 stars,"  An overall decent phone. The clean software experience would be the reason to choose this instead of Mi 11X or IQOO 7. Hardware wise it's more than capable. The camera I would say , is decent. It depends on your photography skills. The sensor specs only matter so much, I would say invest some time in learning photography. Check the photos attached. If you are a power user , this is one of the best value for money phones at this segment. For the custom rom folks , the kernel is open sourced, so in a year can expect decent ROM. I think IQOO bootloader is not unlocked so keep that in mind."
16,devil,Don't buy it.,1.0 out of 5 stars,"  First of all, it is hearing every time I use camera and play games. And picture quality is much below average. I previously owned Oneplus7 T and I had to sell that in order to buy this one. It was a wrong decision. The sensor is so bad and whenever I click a photo it is never detailed but only superfluous. I am disappointed."
17,Alok,Battery issues,1.0 out of 5 stars,  Battery issues
18,Amit Shanker,One Plus 9R,5.0 out of 5 stars,  From One plus 3Then One Plus 6And Now One Plus 9R...Always Launched and Booked😎😎😎No issues ever.
19,Lokender Pilaniya,Wonderful phone for the price.,5.0 out of 5 stars,"  As I'm a OnePlus user for more than 4 years now I purchased the OnePlus Plus 9 Pro on 30th March and loved it.And got the 9R for my sister and she loved this phone.I would say it's better to get 9R over 9 else buy the 9 Pro.Camera on the 9R is not as people are saying that it's bad. It's decent for the price. A normal person can't tell the difference btw.Screen is beautiful, phone looks premium."
20,Sai Krishna prasad,5G bands,1.0 out of 5 stars,  Worrest decision taken by OnePlus not providing 5G network bands in india. Only one 5G band in OnePlus 9R. Before they said we will provide other 5G by update. I want my money back. I will take legal action
21,Badhusha Majeed,GENUINE NOTE FOR ONEPLUS 9 SERIES SEEKERS,5.0 out of 5 stars,"  Your browser does not support HTML5 video.


   Okay, First of all, I was using oneplus 6 before and was planning for an upgrade, and eagerly waiting for 9 series. I decided to buy Oneplus 9 first, then I came to know that it wont have OIS stabilization. Then I planned to go for Oneplus 9 pro, but !! Insane heating issues and battery draining problem.Why should I waste money for such a phone, and finally I bought Oneplus 9r . Folks Hazzelblad is just a gimmick, Anybody using Oneplus 9R can get the same output using Google camera in OP9R !!Speakers are really good, Dolby Atmos, Cameras are above average+ , Super stable video mode gives you iPhone like stabilization, gaming is supercool, I bought 12/256 varient, and its super snappy, butter smooth. The only struggle I'm facing right now is the availability of accessories like tempered glass and back cases (official glass and cases are really expensive) , and we know this is a new model launched days before, so hopefully it'll sorted soon !!"
22,Trailblazer,Not what I expected from OnePlus.,1.0 out of 5 stars,"  I just switched from OP6.Unlike when I brought the OP6, when I had zero complaints. I'm having many issues with the OP9R from day one.Things to note:1. The display has some major issues, there's an off-axis pinkish tint to whites and grays, which is quite annoying, and almost all the devices seem to affected with this as per OnePlus forums.2. The Camera are just mediocre, and I find the OP9 Camera much better than this. Even though OP9 lacks OIS, it almost always catches better pics and has better focus and stabilization in videos. Like MKBHD said, the Macro and Monochrome sensors are just garbage.3. The whole of the phone, particularly the backplate vibrates on playing sounds, it's pretty annoying and makes the phone feel cheap.Good stuff:1. Warp Charging is unbelievably fast.2. Other than the off-axis color shift, it's a great display.3. The phone is very snappy, added to the 120Hz display gives it a very confident smoothness.Overall:I think OnePlus put very little effort to this phone, as if they made it just to satisfy the Indian customers to complement the OnePlus 9 series. Their quality control seems to be quite bad, as OnePlus forums is full with issues with this device. I have a very unpopular suggestion, buy the OnePlus 9, it's only 7K more (SBI Credit Card). You get a newer and efficient Chipset, a substantially better camera. Having OIS gives no seeming advantage to OnePlus 9."
23,Kuldeep,move from OPT3T to 9R best device (No Heating issue after update) :),5.0 out of 5 stars,"  Review (8GB):This phone has very good performance. I ordered lake Blue its looking Stunning. love the device.Pros:=> Great performance/speed for SD 870 processor=> Battery life is fine=> Gesture control, Finger print scanner is nice=> Good cover provided with the phone, that really helpsCons:=> Heating while charging the phone. May be because of fast charge effect, OnePlus should look into this. After 100% charge, it automatically get cooled. no heating issueAs others are complaining there is=> No display tint issues=> No heating issues while using the phone, gaming etc. But noticed while charging=> No charging issues, within 10-15 mins 60-70% chargingRear Camera is good. Getting good pics in portrait mode. i will add few pictures soon."
24,RK,Facing Network issue ( Mobile Data),1.0 out of 5 stars,"  I got a defective phone, it is struggling in moderate to weak network areas. Data Speeds are not even 20kbps. Highly disappointed. As the pic depicts, mobile data error icon can be seen 90% of my day usage. It is very weird. I switched from samsung a50 to OnePlus. it gave me excellent data speeds even in poor network area. I will update my review after one month."
25,Bharti,Waste of money,1.0 out of 5 stars,  Got a defective product and amazon is not ready to exchange it saying please contact manufacturer for warranty.
26,Julian Joy Jacob,"Really Fast Phone, at a Really Great Price!",5.0 out of 5 stars,"  Ordered Carbon Black; 12GB+256GB variant.Recieved a day early, on 19 April 2021.First Day Review:This phone is basically an 8T but with a Snapdragon 870, at a lower cost, but that doesnt mean they skimped on quality.So far from 1 day of use, this phone has been incredibly snappy and intuitive. Switching over from a Galaxy Note 8 was a piece of cake, although it took a good few hours to transfer the data.Charging is really quick as you would expect from a 65W WarpCharger.Camera quality is satisfactory in Auto mode, and gets better in Pro Mode with manual control.Speakers are loud and clear, and there is enough stereo seperation that it doesnt feel too unbalanced.Screen gets really bright and colours are accurate, haven't run into any rainbowing, Black Crush or Purple tinting issues. The 120Hz refresh rate also adds to the snappiness feel of the phone.Gaming is really enjoyable, especially those game that take advantage of the features like haptic feedback in COD Mobile. Speaking of which, the haptic motor (vibration) feels super crisp and tight, giving it a premium experience.I had gone for the Carbon Black, and the matte finish on the back glass is exactly what I had hoped for, and the matte finish also has an advantage of repelling fingerprints.So far the phone has been awesome, and I recommend it 10/10.Will update this review if I notice anything off :)"
27,Satyawan Mali,Review after 3 weeks of usage,4.0 out of 5 stars,"  The only reason I went for Oneplus 9R is that I have been using Oneplus 5T from last 3+ years, the phone is perfectly fine till now and I always wanted to go with Oneplus for the upgrade after using Oneplus 5T and for its great user experience.Coming to the Oneplus 9R, I am not totally satisfied with the phone as I had higher expectations on Oneplus 9R. With the given features and upgrades I feel the phone is not doing so great. When you compare this phones with the similar range of phones from other brands you will have different opinions and thoughts.Pros:- Display quality is very good, with Fluid AMOLED Display and 120 Hz refresh rate display it is buttery smooth- Built quality is great, with aluminum body and Front and back Gorilla Glass 5 protection. Feels premium in hand- Phone speakers are doing well, sound is crisp, loud and with more details- Handset microphone is also great, Can hear the exact voice of the caller and it's clear and loud- Performance - Qualcomm 870 Chipset is doing well, phone is running smooth with no lags so far.- Front camera is good if you compare with other 16MP sensors on other phones.- As usual clean UI experience with Oxygen 11 OS.Cons:- Minor heating issues.  Felt phone was heating up during initial setup, while moving the files from old phone to new one. first 2-3 days felt phone is getting warmer with normal usage aslo and during the time of charging. I feel the heating issues resolved after receiving the first OS update or who knows the phone might be settling down after few days of usage.- Primary camera(s) is not up to the mark, photos can be seen only better in pro mode, videos are little better and front camera is OK. Lots of additional and unnatural colors are being added to the shot. There is no much clarity when you zoom and no details and images are scattered. Camera is not good with the hype which Oneplus created.  I wish Oneplus would be able to fix the camera issues with some good updates if hardware supports and if not then that's it.-Battery backup - Battery drains very quickly with the 120Hz refresh on, battery lasts only for 1 day with full charge and optimal usage. But the good thing is, it charges very quickly as well with 65W Warp charger. from 6 to 100 % took 49 minutes to charge.Overall, if you want to go with the display and performance other then Camera quality and some other issues which I highlighted, then you can go for it and if you are an Oneplus fan.NOTE: Whoever wants good Camera, they might think twice before purchasing this phone. You will get way better camera phones than Oneplus 9R under 40K (38 with discount)."
28,arpan,Value for money 💰💰💰,5.0 out of 5 stars,"  The OnePlus 9R is a fair proposition in terms of the phone's pricing. For Rs 39,999, I get great performance, along with a very fluid and clean software experience. The photography, especially in low light, might not be spectacular, but it's still pretty good. Fast charging, decent battery life, and an attractive design contribute to the OnePlus 9R being a great purchase decision."
29,Joy Mukherjee,WORST CAMERA... EVER,1.0 out of 5 stars,  Worst camera...  even a sub-10k phone will beat this phone in camera segment.I never expected such poor quality camera in a flagship killer brand..... first and last OnePlus phone. Congratulations for losing your customer.
30,Shradha,It's a blunder from OnePlus,2.0 out of 5 stars,"  OnePlus did a blunder with this one. Battery quality is very bad. And it's charging very slow. I'm not sure it's some unit problem or software issue, so I've requested a replacement, but it states over 1 hour to full charge when it's already charged 60%. The charging rate is very low as well, and battery deplete very fast, I can say it depletes faster than it's charging rate.Screen quality is great.Sound quality isn't very good either, it has very less max volume, I literally had to keep it at full volume always for a decent sound.As for heating issues, as everyone else is stating, it's over heating a lot! While normal usage it overheats, let alone any power playing.Honestly, I feel OnePlus made a blunder here. I was really looking forward to this device. Let's see how the replacement unit feels.Edit - battery seem to be performing better after replacement. However, still have issues like overheating and speaker sound."
31,Seshu,Good phone but unable to use coz of heating issues,1.0 out of 5 stars,  Heats like hell. Initial set up heats up mobile.. 7nable to hold even after using a back case.. Same with games/camera/video streaming apps. Difficult to hold in hand. Needs an urgent fix.
32,Sharada Dutt Yadav,Heating issue.,1.0 out of 5 stars,"  I never expected that OnePlus phones will be having heating issue. With my device OnePlus 9R 12GB, I faced this issue and highly disappointed 😞. I even bought OnePlus Buds Z as well and Bluetooth droops very often."
33,Anto,Beast with a cute look,4.0 out of 5 stars,"  I have an OnePlus 3 and an One plus 8 and this this my third purchase of an oneplus phone in the family.A bit disappointed to hold the phone at first after using OnePlus 8 for almost a year now. First, the lack of curved edges deprives you of a smooth navigation gestures especially with the cover on. Further, it is not the slimmest phone in this price catagory. But not so heavy.Full marks to the Super-AMOLED display, which is super cool and crisp. Even in broad sunlight, it is visible because of the 1,100 nits it offers. Build quality is very premium. Ergonomically well designed. Perfect for one-handed opraration. The front and rear is of corning gorilla glass 5 and the frame is metal (where as for the OnePlus 9 the frame and rear are of plastic!!) Lucky me! So it looks very elegant. But no IP rating for water proof is disappointing. But company says it is water proof. The insulation in the SIM tray is an evidence.The phone is superfast with a great sensitivity for touch and swipe gestures with the Snap Dragon 870 processor. 120 hz refresh rate is super smooth. Gamers would love it with a top-notch haptics (vibration features) and with the 244 hz touch sampling rate.Battery charging is very fast too. The juice holds up for quite long because of the better power management by the latest processor and the LLDR 5 RAM. Delightful!! Occassional warming yes during heavy games. That's normal. Camera is decent. Front camera is 16 MP should be a 32 in this price range. Avoid beautification option as you may look like a cartoon. Rear camera takes above average photos in day light. But below average during low light/ nights especially the wide angle camera. But it has optical image stabilisation even the OnePlus 9 doesn't have that. So shaky hand fellows don't worry for the blur. Videos are of best quality. Best in this category. With a good video editor and skill you can make cinema like videos but the stabilisation is not-so-good in the nights.Stereo speakers are of very good quality. It is loud and doesn't crack even at high volumes. Call quality is decent. Not comparable with iPhones though. And Dolby audio is very enjoyable with headphones. With a good quality earphones/ headsets, I assure it is not less than a immersive audio experience especially for games.'Flip to mute' and 'raise the phone to answer' features are missing. Don't know why. It is just a OnePlus 8T with a good looking rear camera console with Rs.3000 less. Even the cover of 8T suits perfectly on this.So overall I am satisfied if not delighted. My OnePlus 8 is still better I feel. But this is the best in this price range. Better than the vivo x60, Mi11X pro or even the samsung S20 FE especially for the build quality and the premium feel it gives. Also the oxygen OS is best out of all android OS'. Also the in-display finger print sensor and the face unlock, I have not experienced  anything faster, prompter and more acuurate in recent times with anyother gadgets!! But the phone has only one 5G band. Suggest not to use the cover supplied with the box. It gives a kinda smoky look and makes the phone look bulky. But withstands accident falls. I have ordered the sandstone bumper case from the OnePlus store. Lake blue colour variant is awesome. Best of all the colors of all the OnePlus phones till today in my opinion. Catches not much finger prints or smudges like the 8 series. Scratch proof. Phone comes with a pre-applied scratch gaurd sticker. So no extra purchase required. Charging cable is a bit shorter than OnePlus 8. Type C charger with 65W charging adapter. 0 to 100 in 50 minutes. One significant change here is the data transfer to and from computer is quite faster than my OnePlus 8 also using OTG. Adaptive brightness they have got it right this time. In previous Oneplus devices, it was irritating. I have become loyal to OnePlus because the life of OnePlus phones is quite long compared to any other leading brands. My OnePlus 3 still stands formidable after 5 years. One star less just for the absense of curved edges display and a not-so-slim thickness. Else this phone is very good. Though corner of my mind says the price should be 10% lesser.P. S.Not encountered any overheating or battery draining issues as highlighted by some users. May be because I bought the phone after the release of first software update  and updated before writing this review. If you are not a fan of flagship processors and not a gamer, go for the OPPO F19 Pro with half of this price. Slimmer, lighter and with 3.5 mm jack."
34,Jag Singh,Not worthy at this price range,1.0 out of 5 stars,"  Just recieved latest flagship phone but disappointed with quality of product at 39k price tag. It's heating up within use of 30 mints even when it gets charged up completely. Batery draining in short time even with normal use of watsapp, accessing mails. Weirdest things I have noticed that you feel the sound viberation from back side when while calling to someone and it's wrost when you play music. It give you a feel poor quality product."
35,Nithin VS,A worthy upgrade,4.0 out of 5 stars,"  I have been using Realme 2 pro for the past 2 and half years and I felt like I needed a upgrade and bought OnePlus 9R, have to say it's a worthy upgrade and the speed is amazing. Everything is super fast and 120hz refresh rate is cherry on the top. Camera is okaish nothing that great. There are some heating here and there while using apps. Battery is okay as well. If you are using heavily it will not last you for a day, with normal usage it will easily last for a day. Also the phone fully charges in 40 minutes thanks to the 65w fast charging. OxygenOs is good nothing that great. There are lots of booklets inside the box, I hope next time OnePlus reduce that and instead add a usb c to 3.5mm jack adaptor. This is the first time I am using a OnePlus phone and I am really enjoying every moment of it and I would recommend this phone to everyone who is planning on upgrading their phone."
36,Satyy,"A trade-off between a ""perfect"" and ""low-budget"" device.",3.0 out of 5 stars,"  Here's my final review after more than one month of continuos usage of this phone.Charging speed: 5⭐Display : 5⭐Touch response and feel : 5⭐  120 hz display feels and looks butter smooth.Battery life: 3⭐ (Even in 60 hz refresh rate, battery doesn't last for a day).Back Camera (in daylight):  3⭐ (because of very bad skin colour reproduction)Back Camera (in night): 5⭐Front camera: 2⭐ (my Mi A3 takes way better selfies).Ui and themes: 5⭐Fingerprint reader: 5⭐Audio quality (Call/Music): 4.5⭐Performance: 2.5⭐ (heats up really fast).Build quality and looks : 5⭐(it won't break easily if fallen accidentally.)Internet speed : 5⭐"
37,Prasad,Worst in battery backup,1.0 out of 5 stars,  Extremely worst battery.. battery drain s very quickly.. mobile also average camera
38,TULASIRAM,Heating issue,1.0 out of 5 stars,  Phone was getting heat when charging and continuse use for 30m any application not expected this from brand like One plus.
39,Moumita aich,One word !!!! Pathetic 🥺,1.0 out of 5 stars,"  Well to start with...I got this phone delivered today..no issue with Amazon Delivery..but but but..I am highly dissapointed with OnePlus 9R ...pathetic is the word to describe..never ever thought that OnePlus so called Flagship phone will perform this bad..I have always been a fan of OnePlus ...I owned 7T Pro earlier that was way better than this scrap in terms of performance , camera quality,  fast charging and mostly that was a complete package flagship... but unfortunately I lost my phone last week and thought of giving a try with 9R ..Coming to 9R with just few hours of use...I can hands down say it's the worst of OnePlus series ..I guess even the Nord is better..No pros guys trust me only cons... Feel like I lost another 40k 😭😭😭So called 65W fast charging -- in around 35mins only 25% chargeHeating issue just after 10 min usage - error message popsup while taking photos .. heating issues  - couldn't capture at all..Camera quality -- way below average ....Don't know what else to say... It's pathetic"
40,Devendra Singh,Review after days of extensive use!,5.0 out of 5 stars,"  Review after 7 days of extensive usage. • I would say the performance you are going to get one oneplus and that OxygenOS touch you gonna get from knowhere. It's too smooth to handle after using this you'll find thise ""IOS"" devices are lagging cuz they aren't having 120 Hz display even the price for iphone 12 is almost double the price of oneplus 9R.Pros: • Snapdragon 870 which is smooth as hell either it be for video editing and redndering or it be for playing games. Even the ""Call of Duty"" runs like water buttery smooth at max fps. • Tested this device while playing games on it like COD/Free Fire with max Resolution and FOS and would say thermals are very good it won't heat up after almost an hor of gaming temp was still maintained to be as 40°C in a Non AC room. • Video Stability and recording best in the market if you turn night mode on even in the dark scenes it is well lit up no one can guess it was shooted in night. Video potrait is best for content creater the bokeh effect is mouth watering for the content creators the bokeh youll get is as similar as you'll get in a dslr camera but the surrounding should be well lit up. • Oxygen OS it is the best operating system I've seen on an Android device unlike other OS available for Android. • User interface is best thing of oneplus devices you can't get rid of it's addiction even you'll start hating IOS 😅 not actually but it's the best UI I've ever used • You'll get 5g support so you don't need to worry about future upgrades. This will work smooth. • Design and placement of Camera Module is the best the oneplus have done ever while it's completely subjective, but youll get 🦍 Glass 5 protection on front and back along with a aluminum chasis/side frame it's a well built device simply rigid and feels premium to hold. • Haptic is best in the price range. • Dua Dolby Stereo Speakers make it loud enough to consume your content at any place • Full day power just in few minutes this device comes with a 65W wrap charge which will charge your device in just the time span of 30/35 mins. You'll never fall short of power either it be powerful performance or the power interms of battery. • Oneplus's Fluid Amoled display is best screen I've ever seen smooth responsive and vivid best for Netflix, lovers xD.Cons: • There are some bugs oneplus need to solve it as it isn't justified for this kind of flagship devices. I'm mentioning few of them oneplus pls act accordingly. • While using YouTube  the framerate drops I don't know it's a google fault or what but even the notification bar seem to be freezing while scrolling down as to like 90fps. There are few more applications like Google photos application which I've discovered uptil now. • Phone get warms outside it might be due to the electronic devices catch too much of heat radiations from Sun rays. • Oneplus pls provide One-Hand mode as soon as possible as the device is having a large form factor it's quite not possible for using the device single handedly even if I am having really large palms and long fingers indeed, I am just thinking anout those girls having small cute palms and fingers💅🤣😅. • Now jumping to camera section one plus needs to work on the picture capturing algorithm the problems faced were like... • 1) Sometime captures undersaturated photos in potrait and 2x Zoom mode. • Need to work on the algorithm of focusing as it hunts for focus sometimes in the darker. • Basically Camera needed to be well optimized by oneplus in few aspects rather say camera performance is awesome just few bugs are needed to be solved. I've attached few pictures you can refer to those.Conclusion: • If you want a well built phone with best processing speeds and Video Capabilities you can opt for it it's is the best device in my terms under 50k budget but few bugs and improvisation are required & I hope Oneplus will donit sooner or later.Thanks for reading my review."
41,Litton Sinha,No more a 5G phone,1.0 out of 5 stars,  After getting to know that OnePlus is not providing any additional 5G bands in future for Indian variants after promising to be fixed by OTA update. I feel like cheated paying 40k for non 5G phone is not at all worth....
42,Avi Wadhwa,The only quality product in this range,5.0 out of 5 stars,"  You may get phones with better on paper specs at this price, but none have this quality. The build quality is significantly better than the competition. The frame is aluminium with a glass black and premium looking matte finish. Oxygen OS feels simple, practically useful and premium unlike those overwhelmingly bloated skins in Xiaomi, Vivo and Samsung phones. The phone has a great display, much better than the competition. The vibration motors are Iphone quality, not the usual cheap quality vibration motors found in the competitiors. The battery life is much better than advertised. I am able to get 6 hours of playtime on heavy games like COD Mobile on full charge. 65W fast charging is stupendously fast. No heating issues whatsoever even while gaming. Buttery smooth performance in daily usage as well as games. Idle battery time is amazing. The cameras are great but lack in colour calibration. Other competitors offer better cameras. Overall, Oneplus is the only brand offering clean software experience in this range, which is the most important thing in a phone."
43,Kabilan T,Poor camera for this price tag,2.0 out of 5 stars,"  Camera quality is very poor. Poorer than 1+ 8T.It seems need a software update for a better picture quality.Over all user experience between the range of below average to average as the premium feel is missing.As well there are many other bugs that need to be fixed, those bugs are very obvious."
44,Amazon Customer,Shitty 9 series,1.0 out of 5 stars,  None of the features are good and looks really cheap. If you're OnePlus user do not buy this any of the 9 series it's only a trash.Picture quality is very low if you click snap you'll feel like you took a picture from a cheap 3k mobile. Worst phone ever regret the decision to buy this shot.
45,BHARGAV,Faster Phone with faster battery drainage,4.0 out of 5 stars,"  I'm shifting from OnePlus 6 so it's not a huge upgrade but neverthless, the phone is amazing. Fast, fluid display and excellent touch response rate. Very handy and lightweight which makes it easy to use while sleeping 😅😅.A little discomfert I face when I put it on charge that it heats a little more than I expected with 65W charging plus battery drain fast.overall it's a great product with a little downside things which can't be ignored."
46,Sunil Sihag,Average product for 40K+! Avoid it,3.0 out of 5 stars,"  Phone turns hot even without playing games,  watching content, or even using camera! Oxygen OS feels a tone-downed version of those available in lower OnePlus devices, with no Oxygen Messenger, Dialer, etc. Also, OnePlus treats you with ads (reminders) for Red Cable membership every time you open settings.Honestly it has no special features or terrific performance that would make it distinct from phones available under 30K."
47,Amaanat,Don't buy,1.0 out of 5 stars,"  Extremely slow and disappointing product. I have been using OnePlus since they launched OnePlus One. And this is by far the worst product I have ever seen for the following reasons1. Display screen blinking again and again2. Burning hot after just two hours of use3. Battery life is pathetic, only lasts 6-7 hours before needing charge again4. Unable to perform multiple functionsI would never recommend this product to anyone. I'm officially not a OnePlus customer after this."
48,Samson Louise,Go for Oneplus 9R. Best in 9 series.,5.0 out of 5 stars,"  I felt like this oneplus 9R is Best in oneplus 9 series. It's worth of 40k. The 65w warp charger is just amazing that your phone gets charged from15% to 100% in just 38mins. I did not not felt much heating issue. Frequently close the recent apps and clear the cache. If you strain the phone too much it will obviously heats. Camera is fine but not a wow factor. Display is just amazing. Phone runs pretty fast with Snapdragon 870. If you are confused with 9, 9pro and 9R, would definitely recommend 9R because it's worth the penny. 9 and 9pro doesn't make any sence with the hasselblad. Not much different with the cameras. It's seems just a hype. Go for 9R you would save 10k comparing with the other 9 series."
49,Prabhat Dwivedi,Check Call quality issues immediately after purchase,3.0 out of 5 stars,"  I ordered product with great hope, but all were dashed when during the call, words went missing on both sides. As a Caller, i was hearing things partially and the same was happening with the call receiver. We both were hearing things not completely as if we were talking like fill in the blanks. I don't know what to call this technically. But this issue happened even after replacement and I had to finally return the product. Now, I use airtel postpaid and this problem never happened even with my old moto G5S plus & doesn't happen till now. Unfortunately, it kept on happening with one plus 9R. So, unfortunately, I had to return & give up on one plus 9R. May be I got just unlucky defective product, but I am moving on."
50,Purna sai,Average,1.0 out of 5 stars,"  One plus have a look on this mobile doesn't meet the expectations. overall mobile performance was good but they have to fix some bugs and front camera has too lag and back camera also average. When comes under display it's really fantastic , battery have best performance and sound quality was very good but it was failed in camera . I think this is not a value for money ."
51,Koushik kasa,Heating issue.  !  A big dropback for all 9 series,1.0 out of 5 stars,"  It's overheating within 5 minutes and not at all good for its cause of radiation , which so many people lack knowing"
52,Dushyant,Late responding Camera & heating problem,1.0 out of 5 stars,"  Overheating during charging & app usage... delay in image opening in gallery after clicking photo by camera, need to hold camera in position after clicking photo as its response is late otherwise image will get distorted."
